Dataset,Query,Milliseconds,Average,"Confidence Interval (Min, Max)"
100%,Query 1,270.63,270.6347465515137,"[263.39, 277.88]"
100%,Query 2,778.01,778.0079444249471,"[769.11, 786.91]"
100%,Query 3,1576.21,1576.2145519256592,"[1551.28, 1601.15]"
100%,Query 4,3513.66,3513.658857345581,"[3487.57, 3539.75]"
100%,Query 5,5929.12,5929.11712328593,"[5890.2, 5968.04]"
75%,Query 1,218.96,218.96458466847739,"[216.31, 221.62]"
75%,Query 2,609.13,609.1270049413046,"[599.33, 618.93]"
75%,Query 3,1216.49,1216.4867242177327,"[1201.71, 1231.26]"
75%,Query 4,2714.83,2714.834109942118,"[2695.43, 2734.24]"
75%,Query 5,4445.24,4445.236261685689,"[4415.84, 4474.64]"
50%,Query 1,146.37,146.37306531270346,"[145.59, 147.16]"
50%,Query 2,413.54,413.5354200998942,"[405.95, 421.12]"
50%,Query 3,811.12,811.1153284708658,"[799.1, 823.13]"
50%,Query 4,1805.68,1805.68208694458,"[1788.43, 1822.94]"
50%,Query 5,3008.4,3008.39786529541,"[2983.53, 3033.26]"
25%,Query 1,72.54,72.53855069478352,"[72.04, 73.04]"
25%,Query 2,201.64,201.64268016815186,"[200.74, 202.54]"
25%,Query 3,405.37,405.3689479827881,"[397.67, 413.07]"
25%,Query 4,896.2,896.198574701945,"[885.81, 906.59]"
25%,Query 5,1506.05,1506.0543934504192,"[1492.85, 1519.26]"
