Dataset,Query,Milliseconds,Average,"Confidence Interval (Min, Max)"
100%,Query 1,8.6,8.6,"[7.2, 10.0]"
100%,Query 2,10.63,10.63,"[9.39, 11.86]"
100%,Query 3,10.01,10.01,"[8.62, 11.41]"
100%,Query 4,9.77,9.77,"[8.34, 11.19]"
100%,Query 5,11.15,11.15,"[9.42, 12.88]"
75%,Query 1,6.77,6.77,"[5.76, 7.78]"
75%,Query 2,8.25,8.25,"[7.03, 9.47]"
75%,Query 3,9.24,9.24,"[7.82, 10.66]"
75%,Query 4,8.4,8.4,"[7.04, 9.77]"
75%,Query 5,9.02,9.02,"[7.38, 10.65]"
50%,Query 1,5.08,5.08,"[4.4, 5.76]"
50%,Query 2,6.19,6.19,"[5.16, 7.22]"
50%,Query 3,7.38,7.38,"[6.07, 8.69]"
50%,Query 4,6.5,6.5,"[5.26, 7.75]"
50%,Query 5,8.66,8.66,"[6.76, 10.57]"
25%,Query 1,4.24,4.24,"[3.35, 5.14]"
25%,Query 2,5.67,5.67,"[3.82, 7.53]"
25%,Query 3,4.51,4.51,"[3.52, 5.51]"
25%,Query 4,4.8,4.8,"[3.44, 6.16]"
25%,Query 5,5.66,5.66,"[4.03, 7.29]"
